word,false/true
in flames,FALSE
in flower,FALSE
in full,FALSE
in future,FALSE
in gear,FALSE
in general,FALSE
in good condition,FALSE
in good faith,FALSE
in hand,FALSE
in harmony (with),FALSE
in haste,FALSE
in hiding,FALSE
in high spirits,FALSE
in honor of,FALSE
in horror,FALSE
in ink,FALSE
on watch,FALSE
on schedule,FALSE
on the record,FALSE
on the road,FALSE
on oath,FALSE
on pain of,FALSE
on the air,FALSE
on balance,FALSE
on a diet,FALSE
on a journey,FALSE
on a trip,FALSE
on a large scale,FALSE
on a small scale,FALSE
on a pension,FALSE
on a regular basis,FALSE
on a spree,FALSE
on account of,FALSE
on an expedition,FALSE
on an island,FALSE
on approval,FALSE
on average,FALSE
on bail,FALSE
on behalf of,FALSE
on board,FALSE
on business,FALSE
on order,FALSE
on remand,FALSE
on show,FALSE
on strike,FALSE
on suspicion of,FALSE
on the agenda,FALSE
on the brink of,FALSE
on the dot,FALSE
on the edge of,FALSE
at high speed,FALSE
at risk,FALSE
at one’s side,FALSE
at a fraction of,FALSE
at the outset,FALSE
at the end,FALSE
at sight,FALSE
at the double,FALSE
at one time,FALSE
at a discount,FALSE
at a distance,FALSE
at a glance,FALSE
at a guess,FALSE
at a loose and,FALSE
at a loss,FALSE
at a low ebb,FALSE
at a price,FALSE
at a rate of,FALSE
at a speed of,FALSE
at a standstill,FALSE
at all costs,FALSE
at all events,FALSE
at issue,FALSE
at large,FALSE
at least,FALSE
at length,FALSE
at liberty,FALSE
at most,FALSE
at night,FALSE
at noon,FALSE
at one’s leisure,FALSE
at one’s request,FALSE
at peace,FALSE
at war,FALSE
by law,FALSE
by nature,FALSE
by far,FALSE
by design,FALSE
by chance,FALSE
by the name of,FALSE
by luck,FALSE
by accident,FALSE
by air,FALSE
by sea,FALSE
by land,FALSE
by all accounts,FALSE
by all means,FALSE
by any standard,FALSE
by appointment,FALSE
by birth,FALSE
by check,FALSE
by coincidence,FALSE
by courtesy of,FALSE
by definition,FALSE
by degrees,FALSE
by design,FALSE
by dint of,FALSE
by far,FALSE
by force,FALSE
by hand,FALSE
by heart,FALSE
by law,FALSE
by marriage,FALSE
by means of,FALSE
by mistake,FALSE
by my watch,FALSE
by nature,FALSE
by no means,FALSE
by request,FALSE
by rights,FALSE
by sight,FALSE
